iter	Passed	Remaining
314	25322	34165
315	25412	34097
316	25512	34043
317	25668	34062
318	25774	34015
319	25866	33950
320	25947	33869
321	25967	33709
322	26083	33673
323	26182	33617
324	26258	33530
325	26319	33424
326	26415	33362
327	26471	33250
328	26570	33193
329	26597	33044
330	26628	32903
331	26733	32853
332	26783	32734
333	26849	32637
334	26918	32543
335	27084	32566
336	27218	32549
337	27407	32597
338	27509	32540
339	27645	32524
340	27776	32500
341	27909	32479
342	27998	32406
343	28077	32321
344	28179	32263
345	28266	32187
346	28341	32098
347	28361	31947
348	28442	31865
349	28552	31815
350	28805	31923
351	28857	31808
352	29068	31867
353	29328	31979
354	29403	31887
355	29422	31736
356	29496	31644
357	29577	31560
358	29659	31477
359	29730	31381
360	29828	31315
361	29873	31193
362	29949	31104
363	30019	31009
364	30073	30897
365	30137	30796
366	30179	30672
367	30266	30595
368	30353	30518
369	30418	30418
370	30499	30335
371	30572	30243
372	30638	30145
373	30702	30045
374	30793	29971
375	30874	29889
376	30947	29798
377	30980	29669
378	31074	29598
379	31155	29515
380	31244	29440
381	31390	29418
382	31455	29320
383	31528	29229
384	31584	29123
385	31620	28998
386	31709	28923
387	31770	28822
388	31861	28748
389	31915	28641
390	31997	28560
391	32110	28506
392	32203	28433
393	32288	28354
394	32377	28278
395	32460	28198
396	32532	28107
397	32587	28002
398	32669	27920
399	32746	27834
400	32804	27732
401	32885	27650
402	32972	27572
403	33048	27486
404	33118	27394
405	33165	27284
406	33239	27195
407	33319	27112
408	33401	27031
409	33485	26951
410	33546	26853
411	33612	26759
412	33673	26661
413	33747	26573
414	33804	26473
415	33886	26392
416	33960	26305
417	34039	26221
418	34113	26134
419	34166	26031
420	34264	25962
421	34292	25840
422	34308	25711
423	34379	25622
424	34475	25552
425	34559	25473
426	34611	25371
427	34679	25280
428	34760	25199
429	34824	25106
430	34904	25024
431	34964	24928
432	35048	24849
433	35111	24755
434	35186	24670
435	35242	24572
436	35307	24481
437	35359	24380
438	35416	24283
439	35465	24180
440	35524	24085
441	35600	24001
442	35642	23896
443	35721	23814
444	35776	23717
445	35847	23630
446	35945	23561
447	36016	23475
448	36096	23394
449	36166	23307
450	36236	23220
451	36297	23127
452	36371	23043
453	36448	22960
454	36509	22868
455	36598	22793
456	36678	22713
457	36770	22640
458	36847	22557
459	36909	22466
460	36969	22374
461	37040	22288
462	37108	22200
463	37186	22119
464	37308	22063
465	37401	21991
466	37459	21898
467	37519	21806
468	37583	21716
469	37632	21618
470	37694	21528
471	37755	21437
472	37834	21356
473	37902	21270
474	37951	21173
475	38011	21082
476	38065	20987
477	38136	20903
478	38210	20820
479	38277	20733
480	38341	20645
481	38408	20559
482	38489	20479
483	38566	20398
484	38645	20318
485	38706	20229
486	38792	20152
487	38865	20070
488	38942	19988
489	39012	19904
490	39058	19807
491	39122	19720
492	39208	19643
493	39295	19568
494	39354	19478
495	39432	19398
496	39526	19325
497	39608	19247
498	39692	19170
499	39765	19087
500	39834	19002
501	39908	18920
502	39986	18840
503	40067	18761
504	40129	18673
505	40216	18597
506	40289	18515
507	40375	18439
508	40471	18367
509	40549	18286
510	40614	18200
511	40682	18116
512	40763	18037
513	40841	17957
514	40911	17874
515	40972	17786
516	41038	17701
517	41100	17614
518	41178	17534
519	41263	17457
520	41345	17379
521	41416	17296
522	41467	17205
523	41536	17121
524	41620	17044
525	41701	16966
526	41778	16885
527	41854	16805
528	41902	16713
529	41979	16633
530	42050	16550
531	42094	16457
532	42159	16373
533	42238	16294
534	42316	16214
535	42386	16132
536	42458	16050
537	42533	15969
538	42611	15890
539	42669	15803
540	42733	15718
541	42814	15640
542	42883	15557
543	42958	15477
544	43034	15397
545	43108	15316
546	43192	15239
547	43285	15165
548	43364	15086
549	43442	15007
550	43528	14930
551	43618	14855
552	43659	14763
553	43700	14671
554	43775	14591
555	43843	14509
556	43890	14419
557	43959	14337
558	44043	14260
559	44122	14182
560	44192	14100
561	44274	14022
562	44351	13943
563	44424	13863
564	44494	13781
565	44577	13703
566	44637	13619
567	44706	13538
568	44784	13459
569	44866	13381
570	44953	13305
571	45053	13232
572	45130	13153
573	45203	13072
574	45290	12996
575	45379	12920
576	45449	12839
577	45527	12760
578	45618	12685
579	45691	12604
580	45781	12528
581	45884	12456
582	45951	12374
583	46013	12291
584	46067	12205
585	46103	12115
586	46171	12034
587	46246	11954
588	46319	11874
589	46399	11796
590	46484	11719
591	46546	11636
592	46614	11555
593	46686	11475
594	46772	11398
595	46847	11318
596	46882	11229
597	46947	11148
598	47015	11067
599	47090	10987
600	47181	10912
601	47253	10832
602	47328	10752
603	47387	10670
604	47463	10591
605	47540	10512
606	47615	10432
607	47695	10354
608	47759	10273
609	47831	10193
610	47913	10115
611	47997	10038
612	48064	9957
613	48133	9877
614	48196	9796
615	48278	9718
616	48355	9639
617	48429	9560
618	48518	9484
619	48613	9409
620	48674	9327
621	48753	9249
622	48833	9170
623	48903	9090
624	48968	9010
625	49026	8928
626	49103	8849
627	49188	8772
628	49255	8692
629	49306	8609
630	49375	8529
631	49464	8452
632	49545	8374
633	49583	8290
634	49658	8211
635	49718	8130
636	49801	8052
637	49875	7973
638	49935	7892
639	49997	7812
640	50071	7733
641	50134	7652
642	50219	7575
643	50298	7497
644	50381	7420
645	50484	7345
646	50578	7270
647	50646	7190
648	50730	7113
649	50809	7035
650	50902	6959
651	50994	6882
652	51063	6803
653	51151	6726
654	51232	6648
655	51325	6572
656	51411	6494
657	51488	6416
658	51566	6338
659	51648	6260
660	51746	6184
661	51837	6107
662	51920	6030
663	52006	5952
664	52085	5874
665	52155	5795
666	52241	5717
667	52317	5639
668	52380	5559
669	52453	5480
670	52540	5402
671	52606	5323
672	52686	5245
673	52773	5167
674	52849	5089
675	52934	5011
676	53010	4933
677	53084	4854
678	53160	4775
679	53241	4697
680	53312	4618
681	53397	4541
682	53468	4462
683	53541	4383
684	53597	4303
685	53704	4227
686	53779	4148
687	53863	4071
688	53941	3992
689	54019	3914
690	54100	3836
691	54182	3758
692	54249	3679
693	54334	3601
694	54475	3527
695	54542	3448
696	54631	3370
697	54713	3292
698	54795	3214
699	54890	3136
700	54975	3058
701	55052	2980
702	55123	2901
703	55204	2822
704	55274	2744
705	55356	2665
706	55422	2586
707	55503	2508
708	55540	2428
709	55625	2350
710	55718	2272
711	55800	2194
712	55886	2116
713	55959	2037
714	56051	1959
715	56126	1881
716	56216	1803
717	56299	1725
718	56394	1647
719	56472	1568
720	56565	1490
721	56652	1412
722	56756	1334
723	56798	1255
724	56899	1177
725	56995	1099
726	57077	1020
727	57159	942
728	57239	863
729	57332	785
730	57413	706
731	57493	628
732	57577	549
733	57657	471
734	57734	392
735	57811	314
736	57891	235
737	57967	157
738	58069	78
739	58158	0
