iter	RMSE
145	71297.37858
146	71287.76028
147	71285.23698
148	71278.99624
149	71265.27344
150	71259.90205
151	71247.05745
152	71246.34408
153	71236.98274
154	71236.76269
155	71230.20607
156	71219.84301
157	71204.40244
158	71204.35368
159	71204.29096
160	71195.30153
161	71195.18116
162	71185.43986
163	71185.26381
164	71172.59033
165	71169.25532
166	71159.48264
167	71146.80496
168	71143.14126
169	71142.94411
170	71136.72073
171	71133.12331
172	71125.04767
173	71121.0158
174	71106.51106
175	71099.63026
176	71097.66394
177	71090.12091
178	71089.92125
179	71082.12251
180	71081.92606
181	71076.30717
182	71075.24334
183	71068.65242
184	71060.90719
185	71054.20753
186	71046.2518
187	71045.86309
188	71039.21651
189	71039.15438
190	71038.96826
191	71028.66609
192	71020.02966
193	71016.11478
194	71009.70135
195	71003.36619
196	70997.08313
197	70991.65841
198	70978.15259
199	70977.51156
200	70974.55932
201	70974.50104
202	70969.7647
203	70969.69469
204	70965.08148
205	70961.7985
206	70952.5496
207	70952.27109
208	70948.00728
209	70939.96207
210	70930.70523
211	70930.69333
212	70930.06492
213	70925.9667
214	70924.02665
215	70917.93045
216	70914.60626
217	70913.83251
218	70913.69622
219	70907.36069
220	70896.06988
221	70895.77485
222	70883.25712
223	70878.05009
224	70870.60049
225	70870.55516
226	70865.59373
227	70861.18668
228	70855.67963
229	70843.75786
230	70843.52096
231	70838.13725
232	70824.80749
233	70823.54988
234	70815.71735
235	70814.70933
236	70811.57708
237	70808.33986
238	70808.10652
239	70807.98428
240	70806.16715
241	70795.1637
242	70792.56475
243	70792.09872
244	70786.76243
245	70778.57424
246	70776.11908
247	70773.59225
248	70769.97434
249	70768.03892
250	70760.52909
251	70759.2462
252	70748.62943
253	70742.84041
254	70732.71491
255	70724.21589
256	70720.99846
257	70719.7117
258	70704.43462
259	70700.54531
260	70700.43693
261	70694.3012
262	70693.99673
263	70682.01067
264	70668.81888
265	70667.30438
266	70664.33146
267	70655.75626
268	70645.46836
269	70644.49361
270	70644.31881
271	70641.69926
272	70641.5834
273	70633.85168
274	70624.93411
275	70620.77583
276	70614.73225
277	70607.20671
278	70607.19767
279	70604.17036
280	70597.22483
281	70591.31286
282	70589.35601
283	70588.65047
284	70586.08751
285	70578.20636
286	70572.65405
287	70566.69677
288	70558.09186
289	70552.47398
290	70548.78282
291	70544.96926
292	70544.9292
293	70534.03098
294	70524.2115
295	70524.20438
296	70518.45107
297	70518.28726
298	70509.34732
299	70509.19191
300	70504.03659
301	70501.35136
302	70500.96884
303	70491.05507
304	70484.71028
305	70482.09651
306	70468.93055
307	70454.29672
308	70453.705
309	70448.35032
310	70448.15845
311	70447.39347
312	70439.77221
313	70436.08671
314	70435.99046
315	70428.4532
316	70421.15621
317	70407.82474
318	70402.79599
319	70386.36085
320	70383.38796
321	70383.37678
322	70377.38768
323	70368.58744
324	70367.53178
325	70364.97286
326	70364.12619
327	70364.07342
328	70351.64044
329	70351.60157
330	70351.57309
331	70346.46967
332	70346.12642
333	70345.19567
334	70344.64486
335	70339.78244
336	70333.27851
337	70330.17734
338	70325.32517
339	70313.81877
340	70309.81114
341	70304.50893
342	70304.10331
343	70279.62929
344	70278.82295
345	70275.9025
346	70271.22526
347	70271.22033
348	70263.60583
349	70260.70757
350	70255.87922
351	70255.87414
352	70251.29764
353	70247.37092
354	70244.23313
355	70244.10268
356	70240.284
357	70238.52092
358	70237.23022
359	70223.66606
360	70219.32342
361	70219.01103
362	70216.46103
363	70209.3859
364	70208.37371
365	70202.4535
366	70201.48621
367	70200.16254
368	70194.44067
369	70191.56692
370	70188.80603
371	70186.43306
372	70181.99178
373	70173.93473
374	70166.02648
375	70164.23428
376	70140.38489
377	70140.27065
378	70135.98363
379	70132.10814
380	70129.54343
381	70125.3956
382	70124.13341
383	70119.19101
384	70118.06137
385	70117.98064
386	70113.49594
387	70113.10564
388	70103.80178
389	70103.58469
390	70101.15024
391	70094.93165
392	70089.05263
393	70086.76988
394	70082.57425
395	70082.10489
396	70080.4497
397	70078.01421
398	70071.70204
399	70066.90047
400	70054.76532
401	70050.83289
402	70048.55158
403	70037.15317
404	70032.49977
405	70031.99029
406	70029.39127
407	70028.77311
408	70026.19132
409	70023.71504
410	70020.15785
411	70017.79147
412	70012.91585
413	70001.94959
414	70001.74297
415	69995.17935
416	69989.58307
417	69987.04148
418	69981.64264
419	69981.17663
420	69978.67138
421	69978.57185
422	69978.53773
423	69973.96637
424	69964.48721
425	69963.08667
426	69961.15856
427	69960.03702
428	69959.64013
429	69955.24228
430	69949.72814
431	69947.16869
432	69944.79783
433	69940.67557
434	69938.97808
435	69938.33904
436	69937.36192
437	69933.90097
438	69931.23061
439	69930.62165
440	69930.16339
441	69929.09794
442	69928.84118
443	69921.50354
444	69920.04932
445	69914.4619
446	69910.65743
447	69906.22066
448	69901.90571
449	69894.53309
450	69891.62651
451	69883.60393
452	69881.97868
453	69879.44071
454	69879.21276
455	69874.72529
456	69867.12514
457	69864.49652
458	69861.34568
459	69857.14778
460	69853.70912
461	69849.57079
462	69847.64906
463	69846.00371
464	69840.16825
465	69837.02924
466	69832.9267
467	69832.452
468	69828.71744
469	69828.48803
470	69823.41516
471	69821.54129
472	69814.38966
473	69811.445
474	69809.54
475	69803.40414
476	69793.68498
477	69789.75369
478	69788.19358
479	69787.76885
480	69783.93931
481	69782.09497
482	69780.29511
483	69772.35015
484	69772.10871
485	69765.19665
486	69759.15537
487	69757.89651
488	69756.13728
489	69755.20402
490	69753.43227
491	69750.28712
492	69738.83961
493	69733.70043
494	69731.83667
495	69729.16923
496	69726.61015
497	69720.47413
498	69716.84749
499	69716.28936
500	69714.13789
501	69711.18568
502	69708.5664
503	69705.22921
504	69704.69902
505	69701.93622
506	69700.86323
507	69698.27314
508	69695.51856
509	69689.09984
510	69687.48092
511	69687.08762
512	69678.73157
513	69675.36557
514	69669.87293
515	69661.52974
516	69656.38901
517	69649.4775
518	69643.0715
519	69638.8527
520	69632.00581
521	69631.50408
522	69631.09513
523	69629.57021
524	69629.03314
525	69626.41342
526	69623.34751
527	69617.65152
528	69612.54403
529	69611.35239
530	69609.27878
531	69606.29682
532	69602.63556
533	69599.42458
534	69595.30582
535	69593.70125
536	69593.22387
537	69589.20363
538	69583.84149
539	69580.20526
540	69579.27483
541	69577.32978
542	69577.01252
543	69575.89029
544	69570.57794
545	69565.47001
546	69558.96233
547	69556.46019
548	69550.5857
549	69548.06226
550	69542.27312
551	69537.37794
552	69537.22581
553	69536.91568
554	69528.45649
555	69523.72014
556	69520.66591
557	69519.15017
558	69514.80853
559	69513.27985
560	69512.89969
561	69507.72158
562	69505.94637
563	69505.57239
564	69502.36938
565	69500.52316
566	69500.17107
567	69494.8879
568	69491.07593
569	69488.9096
570	69488.16688
571	69482.24964
572	69481.46185
573	69478.38595
574	69477.21383
575	69472.98098
576	69466.5006
577	69461.4574
578	69459.26032
579	69456.31308
580	69455.98078
581	69451.31437
582	69450.46173
583	69449.58124
584	69438.77768
585	69434.21005
586	69431.38924
587	69424.8091
588	69421.43489
589	69419.38451
590	69417.28747
591	69412.82395
592	69409.24368
593	69408.95249
594	69404.12367
595	69403.26612
596	69402.36709
597	69401.42155
598	69395.04557
599	69388.24321
600	69387.51138
601	69384.78355
602	69380.44245
603	69374.24666
604	69373.78599
605	69369.13814
606	69367.74561
607	69366.13287
608	69357.34103
609	69354.05352
610	69349.81563
611	69340.79638
612	69337.63352
613	69337.19385
614	69336.90667
615	69333.35478
616	69332.01173
617	69329.1665
618	69321.78452
619	69311.32353
620	69303.38771
621	69300.0018
622	69299.76074
623	69297.32363
624	69294.28438
625	69289.28974
626	69286.38742
627	69273.71676
628	69273.29934
629	69265.65352
630	69265.1149
631	69263.14071
632	69261.26452
633	69259.4689
634	69258.13666
635	69257.73615
636	69257.46868
637	69250.02394
638	69247.86329
639	69245.90693
640	69238.5658
641	69231.28042
642	69223.9924
643	69223.73371
644	69215.9943
645	69211.45935
646	69204.64622
647	69204.00623
648	69196.74417
649	69196.22383
650	69195.01345
651	69193.23777
652	69192.73187
653	69188.40657
654	69186.89707
655	69186.48619
656	69179.13836
657	69173.49946
658	69173.25107
659	69170.04878
660	69163.19164
661	69158.7838
662	69155.0912
663	69153.7518
664	69152.54453
665	69148.29511
666	69143.87872
667	69142.6348
668	69142.24123
669	69141.88908
670	69140.48925
671	69136.39404
672	69129.45664
673	69125.7922
674	69122.92888
675	69119.87268
676	69113.0896
677	69110.62325
678	69110.23596
679	69106.70082
680	69104.23281
681	69097.78531
682	69095.10237
683	69089.38384
684	69087.07254
685	69080.53759
686	69080.1689
687	69077.2591
688	69076.07702
689	69074.37335
690	69074.01919
691	69069.24835
692	69063.34669
693	69059.93615
694	69056.45726
695	69055.31653
696	69053.19997
697	69049.90908
698	69047.57935
699	69045.94831
700	69044.71943
701	69033.97726
702	69026.37911
703	69023.66821
704	69018.14997
705	69014.21845
706	69006.77753
707	69005.67517
708	68998.5039
709	68989.74365
710	68987.15862
711	68970.22047
712	68967.59442
713	68966.98323
714	68954.81779
715	68949.08503
716	68944.85883
717	68938.93995
718	68938.60372
719	68928.38148
720	68926.83682
721	68921.55401
722	68915.3648
723	68909.44992
724	68906.28767
725	68904.48433
726	68900.42757
727	68896.57871
728	68894.89319
729	68888.93973
730	68885.88902
731	68881.90834
732	68879.71339
733	68879.28282
734	68877.06984
735	68865.37712
736	68865.05569
737	68864.74663
738	68858.16025
739	68855.16835
